##################################################################
##  Data from the investigation described in
##     Haraldsdottir, J., Holm, L., Jensen, J.H. and Møller, A. (1986):
##     "Danskernes kostvaner 1985",
##     Levnedsmiddelstyrelsen, publ. nr. 138, nov. 1986.
##
## sex: 1=M, 2=F
## Avit = A-vitamin (RE)
person sex avit 
 227   1 2348.99
 228   1 2174.46
 229   1 1590.86
 230   1 1838.44
 231   2  733.90
 232   2 1620.48
 233   1 1420.88
 234   2 1037.21
 235   2  498.61
 236   2 1198.78
 237   1 1489.91
 238   2 1989.51
 239   1 1772.27
 240   2 1014.90
 241   2 1880.58
 242   1 1959.59
 243   2 1783.33
 244   2 1444.14
 245   1 1891.27
 246   2  784.47
 247   1 2364.59
 248   1 1934.51
 249   2 1929.42
 250   2 1705.53
 251   1 1144.93
 252   1 3710.61
 253   1 2851.92
 254   1 1183.05
 255   1 1970.59
 256   1 1899.26
 257   1 1443.86
 258   1 2055.25
 259   2 3041.08
 260   2 2031.91
 261   2 1639.31
 262   2 2033.95
 263   2 1246.54
 264   1 1577.24
 265   1 2030.54
 266   2  831.19
 267   2 2049.24
 268   1 1896.11
 269   2 1702.34
 270   1  889.93
 271   2 1066.49
 272   2 1209.39
 273   1 1842.84
 274   1  794.10
 275   2 1096.42
 276   2 1196.41
 277   1 3232.92
 278   2  618.99
 279   2 1243.43
 280   1 1868.70
 281   1 1388.05
 282   2 1055.73
 283   1 2066.59
 284   2  792.88
 285   1 1820.76
 286   2  768.84
 287   2 1181.12
 288   1 1769.21
 289   2 2359.21
 290   2 1219.50
 291   1 3069.09
 292   1 2398.41
 293   1 2039.30
 294   2 1251.95
 295   1 1515.71
 296   1 1274.07
 297   2 1774.80
 298   1 1348.23
 299   2 1035.87
 300   2 1794.28
 301   1 1073.08
 302   1 1259.22
 303   2 2169.02
 304   1 3845.00
 305   2 1962.19
 306   2  997.43
 307   1 2350.76
 308   2 1435.93
 309   1  827.25
 310   2 1153.66
 311   1 1668.25
 312   2 1353.95
 313   1 1167.48
 314   1 2652.13
 315   2 1912.33
 316   1 1800.63
 317   2  693.41
 318   1 1257.18
 319   2  993.98
 320   2  931.91
 321   1  684.73
 322   2 1251.07
 323   1 3240.62
 324   2 1572.76
 325   2 3664.76
 326   2 2073.66
 327   1 1824.22
 328   1 2375.40
 329   2 1962.55
 330   1 1724.20
 331   1 2521.15
 332   2  602.43
 333   2 1785.32
 334   1  991.80
 335   2  952.15
 336   1 1265.15
 337   1 1910.13
 338   2 1791.45
 339   1 1613.50
 340   1 1410.81
 341   2 1242.53
 342   2 3889.54
 343   2 1393.41
 344   2  589.84
 345   2 1264.16
 346   2  496.49
 347   1  949.39
 348   2  834.31
 349   2 5278.78
 350   2 1503.97
 351   2 1757.98
 352   1 2008.73
 353   2 1574.07
 354   1  860.49
 355   1 1469.41
 356   2 1425.16
 357   2  892.77
 358   2  881.84
 359   2  919.46
 360   1 1924.51
 361   1 1163.12
 362   1 1701.41
 363   2 1547.87
 364   1  958.71
 365   2  864.95
 366   2 1067.68
 367   1 2333.91
 368   1 2824.51
 369   2  668.20
 370   1 1552.05
 371   2 1748.49
 372   2 2028.83
 373   2 1399.48
 374   1 1487.62
 375   1 1637.33
 376   1 1238.16
 377   1 1323.72
 378   2 1429.10
 379   1 1664.77
 380   2 1215.11
 381   2 1266.92
 382   2 1527.91
 383   2  994.90
 384   1 4650.33
 385   2 2072.82
 386   2 1235.30
 387   2 1083.47
 388   1 1215.03
 389   2 1063.07
 390   1 1603.00
 391   1  628.75
 392   1 2131.96
 393   2 1634.63
 394   2 1495.65
 395   2  877.13
 396   1 2041.68
 397   2 2577.02
 398   2 1295.88
 399   1 3059.59
 400   2 2059.81
 401   1 1099.88
 402   1 1446.13
 403   1 2125.00
 404   1 1074.47
 405   2  615.72
 406   2  962.56
 407   1 1280.40
 408   1 1292.55
 409   1 1256.95
 410   2  755.11
 411   2 1348.14
 412   2  623.34
 413   1 1344.67
 414   1 1858.23
 415   2 1106.54
 416   2 1290.50
 417   1 1717.28
 418   1 1205.98
 419   2 1763.76
 420   1 1621.79
 421   2 2554.19
 422   1 1493.48
 423   1 1756.41
 424   1 1833.13
 425   1 1297.48
 426   1 3278.78
 427   1 1444.21
 428   1  824.26
 429   2 1169.04
 430   2 1265.05
 431   1 1709.09
 432   2 1960.03
 433   1 1374.50
 434   1 1840.02
 435   2 1207.87
 436   2 1939.09
 437   2 1808.82
 438   1  821.81
 439   1  817.11
 440   1 1062.37
 441   1 1310.33
 442   2 1969.86
 443   2  684.03
 444   1 1478.14
 445   2 1743.67
 446   2  657.52
 447   1 3342.07
 448   2 1298.29
 449   1 1734.84
 450   1 1606.28
 451   2  714.11
 452   1 1544.52
 453   2 2075.58
 454   2 1186.76
 455   2 1036.43
 456   2 1157.95
 457   1 1842.55
 458   2  799.78
 459   2 1822.39
 460   1 1096.11
 461   1 1166.91
 462   2 2023.53
 463   1 2315.22
 464   2 1291.10
 465   2  847.69
 466   2  836.20
 467   1 1228.00
 468   2 1414.41
 469   1 2901.68
 470   1 1317.75
 471   2 1141.15
 472   1 1301.36
 473   1 2337.83
 474   1 1482.02
 475   1  923.23
 476   2 1904.82
 477   1 2536.20
 478   1 1900.05
 479   1 1995.68
 480   2 1007.59
 481   1  830.20
 482   1 1826.28
 483   2 2894.13
 484   1 1738.44
 485   2 1383.27
 486   1 3170.03
 487   2 1941.13
 488   2 1513.92
 489   1 2529.98
 490   2 1841.72
 491   1 1508.81
 492   1 1527.87
 493   1 2872.66
 494   2 1590.06
 495   2  981.24
 496   1 2840.81
 497   1 1659.07
 498   2  846.66
 499   1 1400.55
 500   2 1377.39
 501   1 3467.09
 502   1 2407.44
 503   1 2487.48
 504   1 2368.93
 505   1 2668.80
 506   2 1120.35
 507   2 1095.44
 508   2 1051.20
 509   1 2675.85
 510   1 2212.84
 511   2 2453.27
 512   1 8473.48
 513   2 1789.84
 514   2 1326.59
 515   1 2256.00
 516   1 1008.75
 517   2 2201.32
 518   2 1510.50
 519   2 1572.33
 520   2 1145.92
 521   1 1608.79
 522   1 1136.06
 523   1 2248.61
 524   2 3725.33
 525   1 1943.48
 526   2 2618.44
 527   2 3035.29
 528   2 2590.78
 529   1 2385.79
 530   2 1617.74
 531   2 2148.94
 532   2 1337.49
 533   2 1176.72
 534   1 5167.38
 535   2 1067.70
 536   2  976.09
 537   2 1727.94
 538   1 2179.38
 539   2 3156.93
 540   2 1086.78
 541   2 2702.25
 542   1 3536.34
 543   1 1306.59
 544   1 1469.27
 545   2 1333.00
 546   2 1291.57
 547   2  997.55
 548   1 2322.88
 549   2 1827.36
 550   2 1297.43
 551   1 3497.87
 552   1 3332.65
 553   2 1415.10
 554   1 1062.39
 555   1 2351.91
 556   2 1313.15
 557   1 1658.41
 558   1 2376.92
 559   2 1374.05
 560   2 1713.43
 561   2 4199.13
 562   2 2531.37
 563   1 1579.37
 564   1 1329.32
 565   2 1781.32
 566   1 2498.68
 567   2 1821.59
 568   2 1686.52
 569   2 1606.62
 570   2 3369.40
 571   1 3078.62
 572   2 1079.23
 573   2 1024.90
 574   1 2475.90
 575   1 1173.15
 576   1 1966.45
 577   1 1832.02
 578   1  963.37
 579   1 1506.44
 580   1 2389.79
 581   1 2734.40
 582   2 1291.97
 583   1 1140.50
 584   2 1534.33
 585   2 1009.89
 586   2 1009.40
 587   2 1225.27
 588   1 2270.34
 589   1 2433.10
 590   2 1529.04
 591   1 3323.49
 592   1 2347.15
 593   2  791.47
 594   1 1121.41
 595   2 1460.04
 596   2 1135.74
 597   1 1088.18
 598   2 1308.63
 599   1  988.87
 600   1 2495.58
 601   1 2168.62
 602   1 2589.32
 603   2  966.37
 604   1 3564.22
 605   1 2618.83
 606   2 1781.42
 607   2  860.83
 608   2  610.70
 609   1 2022.97
 610   1 3957.79
 611   2 1678.56
 612   2 2625.14
 613   1 1725.91
 614   1 1022.25
 615   1 1871.32
 616   1 1895.48
 617   2 1053.01
 618   2 1593.06
 619   1 2911.80
 620   1 1627.73
 621   2 1448.00
 622   2 1097.65
 623   1 1566.05
 624   1 1233.18
 625   2 1500.56
 626   1 2343.25
 627   1 3341.62
 628   2 1505.61
 629   1 1366.19
 630   2 1919.57
 631   1 4920.42
 632   1 1423.43
 633   2 1099.77
 634   2  837.85
 635   1 1512.24
 636   1 1643.18
 637   2  824.21
 638   1 2187.44
 639   1 1146.18
 640   1 2978.78
 641   2 1205.76
 642   1 2670.08
 643   2 1000.94
 644   2 3089.33
 645   2 1186.32
 646   1 7097.82
 647   1 1178.38
 648   1 1847.68
 649   1 1281.39
 650   1 2471.27
 651   1 1401.99
 652   1 1802.86
 653   1 2605.01
 654   1 1973.17
 655   2 1169.06
 656   1 2930.16
 657   1  724.08
 658   1 2193.00
 659   1 1068.28
 660   1 1201.15
 661   1 1909.77
 662   2 1727.02
 663   2 1460.62
 664   2 1139.06
 665   2 1902.56
 666   1 2318.47
 667   1 1951.78
 668   1 1085.48
 669   2  988.91
 670   2 1165.06
 671   2 1155.44
 672   2 2282.36
 673   2 1794.73
 674   1 3199.42
 675   2 1384.24
 676   2 1410.98
 677   1 1147.81
 678   1 1556.65
 679   2 1151.62
 680   1 3390.43
 681   2 1781.91
 682   2  872.66
 683   1 2267.72
 684   1 1264.72
 685   1 1181.30
 686   2  920.82
 687   1  528.44
 688   1 1012.26
 689   1 2739.34
 690   2  926.22
 691   1 1308.58
 692   2 1906.97
 693   2 1045.40
 694   2 1291.71
 695   1 2502.20
 696   1 2658.68
 697   2  931.55
 698   2 1589.56
 699   2  975.75
 700   1 2014.53
 701   2 1587.48
 702   1 1918.55
 703   1 1555.89
 704   2  612.36
 705   2 1586.30
 706   1  733.51
 707   1 1680.73
 708   1 2925.68
 709   2 1291.16
 710   2 1497.69
 711   2  547.35
 712   2 1438.12
 713   1 1212.54
 714   2 1528.40
 715   2  744.73
 716   2 1387.58
 717   1 2586.54
 718   2 2225.20
 719   1 1884.93
 720   1 1966.77
 721   2  827.23
 722   1 1843.24
 723   2  478.47
 724   2 1069.69
 725   1 2212.69
 726   1 2686.82
 727   1 1758.93
 728   1 1152.46
 729   1 1485.04
 730   1 1131.21
 731   2  973.28
 732   2 1918.72
 733   1 1106.46
 734   2 2242.86
 735   1 1550.82
 736   2  691.56
 737   1 1431.28
 738   1 2353.88
 739   2  804.21
 740   1 1082.56
 741   2  939.21
 742   2  872.66
 743   1 2786.79
 744   1 2177.75
 745   2 3154.98
 746   1 1589.18
 747   2 1536.02
 748   1 1953.84
 749   2 1183.08
 750   2 1184.67
 751   1 1671.85
 752   2 1486.90
 753   1 2412.71
 754   1 2363.50
 755   2 2539.16
 756   2 1736.54
 757   2 1060.78
 758   2 1294.85
 759   1 2388.28
 760   2 1855.97
 761   1 1550.28
 762   1 2643.17
 763   2 1767.27
 764   1 1222.48
 765   1  567.02
 766   2 2931.02
 767   2 1372.90
 768   2 2595.52
 769   2 1254.05
 770   2 1105.63
 771   1  826.14
 772   1 1372.81
 773   2 1215.64
 774   1 1325.05
 775   2 1425.08
 776   1 1038.72
 777   1  675.91
 778   2 2742.87
 779   2 1667.98
 780   1 1913.79
 781   2 1319.10
 782   2  798.44
 783   2 1787.58
 784   1 1446.58
 785   2  326.01
 786   2  711.91
 787   1 1384.56
 788   2  759.12
 789   2 1978.26
 790   1 1936.55
 791   1 1292.66
 792   2 1039.32
 793   2 1101.43
 794   1 1599.92
 795   1 1244.74
 796   1  879.10
 797   2 1219.22
 798   1  977.96
 799   2  704.96
 800   2 1518.03
 801   2 1246.69
 802   2  749.67
 803   2 1244.24
 804   2 1163.26
 805   1 1450.67
 806   1  819.01
 807   2  889.50
 808   2 1071.30
 809   1 1684.88
 810   2  654.23
 811   2 1167.17
 812   1 1612.63
 813   1  801.09
 814   2  828.02
 815   2  798.64
 816   1  625.35
 817   1 5188.18
 818   1 1153.59
 819   1 1265.17
 820   1 1156.57
 821   2 1019.60
 822   2 1491.99
 823   1  847.44
 824   2  937.56
 825   2 1151.91
 826   2 1594.80
 827   2 1093.41
 828   1 2744.98
 829   2 1988.56
 830   1 4053.87
 831   1 2597.46
 832   2  976.55
 833   1 3040.39
 834   2 1775.60
 835   2 2535.34
 836   2 1162.77
 837   1 1562.32
 838   2  660.46
 839   1 1423.14
 840   1 1035.08
 841   1 1994.40
 842   2 2059.34
 843   2 2814.61
 844   2 1576.12
 845   1 3404.39
 846   2 2213.37
 847   2 1127.81
 848   2  862.87
 849   2  858.07
 850   1 3078.95
 851   1 3248.54
 852   1 1987.44
 853   1 1352.97
 854   2 1701.63
 855   2 2671.97
 856   1  639.37
 857   1 2128.94
 858   2 1410.58
 859   1 1773.04
 860   1 1168.83
 861   1 1764.26
 862   1 2203.11
 863   2 1355.67
 864   2 1782.29
 865   2 1564.10
 866   1 2160.79
 867   1 1103.52
 868   1 2603.47
 869   2 1495.93
 870   2 1112.06
 871   1 1686.77
 872   2 1800.38
 873   2 1442.84
 874   1 1566.76
 875   1 3202.28
 876   2 1999.90
 877   1 1611.87
 878   2 1081.83
 879   1  829.22
 880   2 2512.18
 881   2 1371.58
 882   1 1989.42
 883   1 2106.60
 884   1 2630.87
 885   2 2647.82
 886   2 1010.41
 887   1 2140.48
 888   1 2854.19
 889   2 1775.06
 890   2 1283.40
 891   2  696.17
 892   2 2320.13
 893   1 2069.41
 894   2 2266.75
 895   2 1053.03
 896   1 1824.32
 897   1 1222.82
 898   2  810.06
 899   2 1987.98
 900   1 3109.03
 901   1 1746.85
 902   1 1624.13
 903   2 1424.59
 904   1  911.37
 905   1 2621.84
 906   2 1271.78
 907   2 2981.95
 908   1 1590.91
 909   1 3379.89
 910   2  885.91
 911   1 3256.79
 912   1 2635.89
 913   1 1085.46
 914   1 2956.84
 915   2 1623.88
 916   1 2034.38
 917   2 2097.87
 918   1 1889.51
 919   2 2056.83
 920   2 1866.58
 921   2  959.45
 922   2 1416.36
 923   1 1282.84
 924   1 4421.10
 925   1 2845.74
 926   1 1631.62
 927   2 2874.50
 928   2 3581.25
 929   2 1031.85
 930   2 1717.89
 931   1 2833.64
 932   2 2955.02
 933   1 1893.54
 934   2 1432.76
 935   1 2326.69
 936   1 1461.54
 937   2 1392.01
 938   1 2468.41
 939   1 2708.69
 940   2 1738.73
 941   1 1655.77
 942   1 1032.26
 943   2 1068.53
 944   2 1866.82
 945   2 1215.69
 946   2 3383.52
 947   1 3233.37
 948   1 1879.31
 949   1  971.81
 950   2 1697.91
 951   2 1249.33
 952   2  700.26
 953   1 3059.79
 954   1 2340.82
 955   2 1095.27
 956   2 3134.94
 957   1  972.67
 958   2 1174.87
 959   2 1032.96
 960   2 2087.43
 961   1 1305.18
 962   2 2428.86
 963   1 1480.29
 964   2  619.65
 965   1 2524.48
 966   1 4554.68
 967   2 2130.53
 968   2 1389.04
 969   1 2342.24
 970   2 1640.90
 971   2 2039.96
 972   2 2187.09
 973   2 1802.46
 974   1 1605.70
 975   1 2259.62
 976   2 2814.75
 977   2 1483.11
 978   1 1650.13
 979   1 1508.44
 980   1 1752.75
 981   1 1275.31
 982   2 1306.49
 983   1 2050.84
 984   1 3086.98
 985   2 1846.32
 986   2 2625.32
 987   2  884.90
 988   1 1704.86
 989   2 1002.41
 990   2 1420.03
 991   1 2050.06
 992   1 1910.25
 993   2 1049.28
 994   2 1066.50
 995   1 2070.54
 996   1 1126.15
 997   1 2353.80
 998   2 1644.11
 999   1 1618.28
1000   2 3306.96
1001   1 4110.82
1002   2 2054.66
1003   1 1408.55
1004   2 2141.47
1005   1 1927.84
1006   2 1668.65
1007   1 2484.78
1008   2 1537.49
1009   1 1948.93
1010   2 1426.72
1011   2 1746.01
1012   2 1647.90
1013   1 1362.68
1014   1  867.84
1015   2 2583.49
1016   2 2521.77
1017   1 3980.08
1018   2 1455.22
1019   2 1320.57
1020   2 2542.61
1021   1 3489.80
1022   1 3692.49
1023   1 1523.36
1024   2 1331.85
1025   2 1282.46
1026   2 2915.37
1027   1 1325.80
1028   2 1445.49
1029   1 1867.40
1030   2 1422.14
1031   2 1828.53
1032   2 1533.42
1033   1 1436.49
1034   2 2685.66
1035   1 1388.23
1036   2 2630.55
1037   2 1803.67
1038   1 1330.35
1039   2 1421.25
1040   2 1231.96
1041   2 2216.31
1042   2  980.34
1043   1 1638.73
1044   1 4503.13
1045   2 1106.86
1046   2 1152.49
1047   2 1716.08
1048   1 2555.11
1049   1 2158.79
1050   2  524.28
1051   1 2578.40
1052   2 1030.37
1053   2 1387.92
1054   1 1310.59
1055   2 1940.16
1056   2 1218.42
1057   2 1457.03
1058   1 1832.91
1059   1 1598.32
1060   1 2863.36
1061   2 1360.67
1062   2 2667.22
1063   2 1598.91
1064   2 2123.46
1065   2 1528.42
1066   2 1550.82
1067   1 1970.40
1068   1 1791.36
1069   1  913.33
1070   2 2260.69
1071   1 2301.17
1072   2 1668.39
1073   2 2994.86
1074   2 1788.84
1075   1 2689.22
1076   2 1813.04
1077   1 1571.14
1078   2 1188.81
1079   1 3820.28
1080   2 1231.03
1081   1 3812.86
1082   2 2551.43
1083   1 2254.64
1084   1 1549.75
1085   1 3238.62
1086   1 2252.27
1087   2 1567.11
1088   1 3093.48
1089   2  763.68
1090   2 1410.47
1091   2 1452.77
1092   1 1055.05
1093   2 1627.09
1094   2  766.28
1095   2 1150.51
1096   1 2005.94
1097   1 2280.33
1098   1 1492.96
1099   1 3270.41
1100   2  663.69
1101   2 1923.07
1102   1 1420.65
1103   2 1082.39
1104   1 1240.68
1105   2 2067.92
1106   2 1696.26
1107   2 1439.59
1108   2 1790.39
1109   2 1448.42
1110   1 3800.49
1111   2 2017.43
1112   1 1525.36
1113   2 1114.93
1114   2 2049.41
1115   2 1640.56
1116   2 1752.86
1117   2 1235.96
1118   1 1735.01
1119   1 3138.66
1120   2 1119.61
1121   1 1274.33
1122   1 2262.30
1123   1 4749.46
1124   1 1002.58
1125   2 1962.41
1126   2 1814.51
1127   2 1769.11
1128   2 1154.75
1129   2 1104.38
1130   1 1548.96
1131   1 2012.03
1132   2 1680.08
1133   1 4496.52
1134   2 1274.88
1135   1 1789.41
1136   2 1279.28
1137   2  673.85
1138   1 1080.77
1139   1 1605.44
1140   2  899.26
1141   2 1116.93
1142   2  908.50
1143   2 2246.59
1144   2 1344.10
1145   2  753.28
1146   2  916.14
1147   2  634.26
1148   2 1656.36
1149   2 3996.65
1150   2 2299.20
1151   1 2891.40
1152   1 2116.34
1153   2 2052.89
1154   1 3390.07
1155   1 2234.03
1156   2 2049.12
1157   2 1111.70
1158   1 2712.54
1159   2 1047.97
1160   2 2119.61
1161   1 2862.91
1162   2 2158.18
1163   1 1338.39
1164   2 2037.63
1165   2 2316.15
1166   1 1197.68
1167   1 3145.04
1168   2 1870.02
1169   2  773.08
1170   1 2618.24
1171   2  448.50
1172   2 2012.07
1173   1 1126.73
1174   1 4298.86
1175   2 2098.81
1176   2 1771.28
1177   1 2738.74
1178   1 2714.08
1179   2 2546.65
1180   2 1284.43
1181   2 3256.88
1182   2  887.00
1183   1 3221.25
1184   2 1175.07
1185   2  937.99
1186   2  823.55
1187   1 1373.55
1188   2 1580.35
1189   2 1276.08
1190   1 1764.00
1191   2  374.93
1192   1 1239.93
1193   1 1237.00
1194   2  856.21
1195   1 2397.20
1196   1 2180.35
1197   2 1385.79
1198   1 2881.51
1199   1 1466.87
1200   1 2053.89
1201   1  814.12
1202   2 1090.11
1203   2 1998.87
1204   2 2264.16
1205   2 1301.31
1206   2  919.98
1207   1 1727.03
1208   1 1851.48
1209   1 3261.46
1210   2  915.89
1211   1 1923.11
1212   1 1421.21
1213   2 1551.91
1214   1 3423.82
1215   2 1418.09
1216   2 2657.98
1217   1 1464.32
1218   1 2357.49
1219   1 1573.07
1220   1 1593.55
1221   2 2457.94
1222   2 1173.85
1223   2 1021.32
1224   2 2039.18
1225   1 3031.03
1226   2  828.09
1227   2 2579.28
1228   2 1654.21
1229   2 2531.76
1230   1 1527.48
1231   2 2202.57
1232   1 2298.18
1233   2 1902.54
1234   2  800.33
1235   1 1148.48
1236   1 1314.63
1237   2 2225.74
1238   2  893.35
1239   2 1060.37
1240   2 1189.93
1241   2 3032.20
1242   2  978.61
1243   2 1458.98
1244   1 1859.85
1245   2 1529.76
1246   2 1143.06
1247   1 5053.74
1248   1 1988.35
1249   1 2706.33
1250   1 2726.71
1251   2 1436.73
1252   2 1704.94
1253   2 1273.01
1254   1 2208.06
1255   2 1275.96
1256   1 2616.88
1257   2 1182.25
1258   2 1517.36
1259   2 1979.58
1260   1 2075.51
1261   2 1693.83
1262   1 1836.39
1263   2 1260.72
1264   1 1508.09
1265   1 2345.63
1266   2 1971.69
1267   2 1566.78
1268   2 1063.10
1269   2  404.63
1270   1 1142.02
1271   1 5536.06
1272   1 3197.78
1273   2 2407.51
1274   1 2476.18
1275   2 1632.73
1276   2 2745.13
1277   1 2796.81
1278   2 1478.16
1279   1 1835.03
1280   1 1777.30
1281   2 1288.67
1282   2 1916.26
1283   2  977.82
1284   1  397.10
1285   1 2347.75
1286   2  968.70
1287   2 1689.23
1288   2 1091.88
1289   1 3868.59
1290   2 1662.51
1291   1 2286.69
1292   2 1122.61
1293   2 1309.47
1294   2  681.28
1295   2 1328.91
1296   1 2768.26
1297   1 1367.08
1298   1 1174.03
1299   1 2071.73
1300   2 1493.22
1301   2 1929.97
1302   1 1903.83
1303   1 2878.75
1304   2 1094.77
1305   1 1705.29
1306   1 1383.73
1307   2 1866.35
1308   1 1961.91
1309   1 3189.23
1310   1 1807.80
1311   2 1299.97
1312   2 1767.30
1313   2 1564.36
1314   1 2352.56
1315   2 1304.88
1316   1 1655.28
1317   2 1260.44
1318   2 1002.73
1319   2 1219.37
1320   1 3012.05
1321   2 2448.05
1322   1 3693.46
1323   1 2882.03
1324   2 3047.65
1325   1 3111.97
1326   2 1652.00
1327   2 1597.01
1328   1 1582.62
1329   2 1345.64
1330   2 1117.33
1331   1 1941.92
1332   2  997.50
1333   2 1508.80
1334   1 2152.77
1335   1 1483.12
1336   1 1542.67
1337   2 1326.53
1338   2 1051.52
1339   2 1917.40
1340   2  714.19
1341   2 1860.82
1342   2  817.89
1343   2 1439.38
1344   2 2430.77
1345   2 1513.69
1346   2  561.83
1347   1 1727.49
1348   1 2640.75
1349   1 1409.83
1350   1 1602.16
1351   2 1591.70
1352   1 2090.58
1353   1 2732.27
1354   2 1333.78
1355   2 1662.17
1356   1 1525.18
1357   1 2656.79
1358   1 1620.29
1359   1 2500.74
1360   2 1718.37
1361   2 2159.52
1362   1 2622.44
1363   1 3726.83
1364   1 1844.95
1365   2 1005.95
1366   2 1265.95
1367   1 1532.61
1368   1 1564.87
1369   1 1056.98
1370   2 1373.70
1371   2  789.44
1372   2 2328.20
1373   2 1234.58
1374   2 1626.69
1375   2 1763.69
1376   2 1534.34
1377   2 1587.12
1378   1 1593.73
1379   2  758.25
1380   2 1566.57
1381   1 2828.14
1382   1 4574.63
1383   1 1800.37
1384   1 2321.92
1385   1 2162.97
1386   2 1194.48
1387   2 1560.46
1388   2 1904.79
